㐖毒	het dowk	Xie2 du2	/India (archaic)/
一族	’jit dzuwk	yi1 zu2	/social group/subculture/family/clan/see also 族[zu2]/
一旦	’jit tanH	yi1 dan4	/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day/
一早	’jit tsawX	yi1 zao3	/early in the morning/at dawn/
一時	’jit dzyi	yi1 shi2	/a period of time/a while/for a short while/temporary/momentary/at the same time/
一晃	’jit hwangX	yi1 huang3	/(of passing time) in an instant/(of a sight) in a flash/
一會	’jit hwajH	yi1 hui4	/a moment/a while/in a moment/also pr. [yi1 hui3]/
一月	’jit ngjwot	Yi1 yue4	/January/first month (of the lunar year)/
一次	’jit tshijH	yi1 ci4	/first/first time/once/(math.) linear (of degree one)/
一氣	’jit khj+jH	yi1 qi4	/at one go/at a stretch/for a period of time/forming a gang/
一流	’jit ljuw	yi1 liu2	/top quality/front ranking/
一生	’jit sraeng	yi1 sheng1	/all one's life/throughout one's life/
一甲	’jit kaep	yi1 jia3	/1st rank or top three candidates who passed the imperial examination (i.e. 狀元|状元[zhuang4 yuan2], 榜眼[bang3 yan3], and 探花[tan4 hua1], respectively)/
一直	’jit drik	yi1 zhi2	/straight (in a straight line)/continuously/always/from the beginning of ... up to .../all along/
一眼	’jit ngeanX	yi1 yan3	/a glance/a quick look/a glimpse/
一睹	’jit tuX	yi1 du3	/to look/to have a glimpse at/to observe (sth's splendor)/
一瞬	’jit sywinH	yi1 shun4	/one instant/very short time/the twinkle of an eye/
一等	’jit tongX	yi1 deng3	/first class/grade A/
一級	’jit kip	yi1 ji2	/first class/category A/
一統	’jit thowngH	yi1 tong3	/to unify/unified/
一維	’jit ywij	yi1 wei2	/one-dimensional (math.)/
一線	’jit sjenH	yi1 xian4	/front line/
一聲	’jit syeng	yi1 sheng1	/first tone in Mandarin (high, level tone)/
一腔	’jit khaewng	yi1 qiang1	/full of (zeal, anger etc)/
一致	’jit trijH	yi1 zhi4	/unanimous/identical (views or opinions)/
一舉	’jit kjoX	yi1 ju3	/a move/an action/in one move/at a stroke/in one go/
一號	’jit hawH	yi1 hao4	/first day of the month/toilet/(slang) top (in a homosexual relationship)/
一覽	’jit lamX	yi1 lan3	/an overview/at a glance/
一言	’jit ngjon	yi1 yan2	/one sentence/brief remark/
一起	’jit khiX	yi1 qi3	/in the same place/together/with/altogether (in total)/
一路	’jit luH	yi1 lu4	/the whole journey/all the way/going the same way/going in the same direction/of the same kind/
一身	’jit syin	yi1 shen1	/whole body/from head to toe/single person/a suit of clothes/
一輪	’jit lwin	yi1 lun2	/first round or stage (of a match, election, talks, planned policy etc)/
一連	’jit ljen	yi1 lian2	/in a row/in succession/running/
一遍	’jit penH	yi1 bian4	/one time (all the way through)/once through/
一道	’jit dawX	yi1 dao4	/together/
一邊	’jit pen	yi1 bian1	/one side/either side/on the one hand/on the other hand/doing while/
一陣	’jit drinH	yi1 zhen4	/a burst/a fit/a peal/a spell (period of time)/
一面	’jit mjienH	yi1 mian4	/one side/one aspect/simultaneously... (and...)/one's whole face/
一頭	’jit duw	yi1 tou2	/one head/a head full of sth/one end (of a stick)/one side/headlong/directly/rapidly/simultaneously/
一類	’jit lwijH	yi1 lei4	/same type/category 1 (i.e. class A)/
一體	’jit thejX	yi1 ti3	/an integral whole/all concerned/everybody/
一點	’jit temX	yi1 dian3	/a bit/a little/one dot/one point/
一黨	’jit tangX	yi1 dang3	/one-party (state)/
七十	tshit dzyip	qi1 shi2	/seventy/70/
七喜	tshit xiX	Qi1 xi3	/7 Up (soft drink)/Hedy Holding Co., PRC computer manufacturer/
七堵	tshit tuX	Qi1 du3	/Chitu district of Keelung City 基隆市[Ji1 long2 shi4], Taiwan/
七夕	tshit zjek	Qi1 xi1	/double seven festival, evening of seventh of lunar seventh month/girls' festival/Chinese Valentine's day, when Cowherd and Weaving maid 牛郎織女|牛郎织女 are allowed their annual meeting/
七孔	tshit khuwngX	qi1 kong3	/the seven apertures of the human head: 2 eyes, 2 ears, 2 nostrils, 1 mouth/
七彩	tshit tshojX	qi1 cai3	/seven colors/a variety of colors/multi-colored/rainbow-colored/
七律	tshit lwit	qi1 lu:4	/abbr. for 七言律詩|七言律诗, verse form consisting of 8 lines of 7 syllables, with rhyme on alternate lines/
七情	tshit dzjeng	qi1 qing2	/seven emotional states/seven affects of traditional Chinese medical theory and therapy, namely: joy 喜[xi3], anger 怒[nu4], anxiety 憂|忧[you1], thought 思[si1], grief 悲[bei1], fear 恐[kong3], fright 驚|惊[jing1]/seven relations/
七星	tshit seng	Qi1 xing1	/Qixing district of Guilin city 桂林市[Gui4 lin2 shi4], Guangxi/
七曜	tshit yewH	qi1 yao4	/the seven planets of premodern astronomy (the Sun, the Moon, Mercury, Venus, Mars, Jupiter, and Saturn)/
七月	tshit ngjwot	Qi1 yue4	/July/seventh month (of the lunar year)/
七竅	tshit khewH	qi1 qiao4	/the seven apertures of the human head: 2 eyes, 2 ears, 2 nostrils, 1 mouth/
七美	tshit mijX	Qi1 mei3	/Qimei or Chimei township in Penghu county 澎湖縣|澎湖县[Peng2 hu2 xian4] (Pescadores Islands), Taiwan/
七聲	tshit syeng	qi1 sheng1	/tones of the musical scale/
七股	tshit kuX	Qi1 gu3	/Chiku township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan/
丈人	drjangX nyin	zhang4 ren2	/wife's father (father-in-law)/old man/
丈母	drjangX muwX	zhang4 mu3	/wife's mother/mother-in-law/
三代	sam dojH	san1 dai4	/three generations of a family/the three earliest dynasties (Xia, Shang and Zhou)/
三光	sam kwang	san1 guang1	/the sun, the moon, and the stars/
三十	sam dzyip	san1 shi2	/thirty/30/
三國	sam kwok	San1 guo2	/Three Kingdoms period (220-280) in Chinese history/several Three Kingdoms periods in Korean history, esp. from 1st century AD to unification under Silla 新羅|新罗[Xin1 luo2] in 658/
三峽	sam heap	San1 xia2	/Three Gorges on the Chang Jiang or Yangtze, namely: Qutang Gorge 瞿塘峽|瞿塘峡[Qu2 tang2 Xia2], Wuxia Gorge 巫峽|巫峡[Wu1 Xia2] and Xiling Gorge 西陵峽|西陵峡[Xi1 ling2 Xia2]/Sanxia or Sanhsia town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan/
三弦	sam hen	san1 xian2	/sanxian, large family of 3-stringed plucked musical instruments, with snakeskin covered wooden soundbox and long neck, used in folk music, opera and Chinese orchestra/
三次	sam tshijH	san1 ci4	/third/three times/(math.) degree three, cubic (equation)/
三流	sam ljuw	san1 liu2	/third-rate/inferior/
三級	sam kip	san1 ji2	/grade 3/third class/category C/
三角	sam kaewk	san1 jiao3	/triangle/
三軍	sam kjun	san1 jun1	/(in former times) upper, middle and lower army/army of right, center and left/(in modern times) the three armed services: Army, Navy and Air Force/
三鐵	sam thet	san1 tie3	/triathlon (Tw)/(athletics) throwing events excluding the hammer throw (i.e. discus, javelin and shot put)/
三項	sam haewngX	san1 xiang4	/three items/three events/three terms/tri-/trinomial, ternary (math.)/triathlon (abbr. for 三項全能|三项全能)/
三鮮	sam sjen	san1 xian1	/three fresh ingredients (in cooking)/
上代	dzyangH dojH	shang4 dai4	/previous generation/
上來	dzyangX loj	shang4 lai2	/to come up/to approach/(verb complement indicating success)/
上個	dzyangH kaH	shang4 ge5	/first (of two parts)/last (week etc)/previous/the above/
上前	dzyangX dzen	shang4 qian2	/to advance/to step forward/
上半	dzyangH panH	shang4 ban4	/first half/
上去	dzyangX khjoH	shang4 qu4	/to go up/
上古	dzyangH kuX	shang4 gu3	/the distant past/ancient times/antiquity/early historical times/
上周	dzyangH tsyuw	shang4 zhou1	/last week/
上回	dzyangH hwoj	shang4 hui2	/last time/the previous time/
上坡	dzyangX pha	shang4 po1	/uphill/upslope/to move upwards/to climb a slope/
上層	dzyangH dzong	shang4 ceng2	/upper layer/
上山	dzyangX srean	shang4 shan1	/to go uphill/to spin cocoon (silkworms)/to pass away/
上岸	dzyangX nganH	shang4 an4	/to go ashore/to climb ashore/
上年	dzyangH nen	shang4 nian2	/last year/
上文	dzyangH mjun	shang4 wen2	/preceding part of the text/
上樓	dzyangX luw	shang4 lou2	/to go upstairs/
上流	dzyangH ljuw	shang4 liu2	/upper class/
上班	dzyangX paen	shang4 ban1	/to go to work/to be on duty/to start work/to go to the office/
上界	dzyangH keajH	shang4 jie4	/upper bound/
上皮	dzyangH bje	shang4 pi2	/epithelium/
上瞼	dzyangH kjemX	shang4 jian3	/upper eyelid/
上空	dzyangH khuwng	shang4 kong1	/overhead/in the sky/
上等	dzyangH tongX	shang4 deng3	/highest quality/top-notch/
上級	dzyangH kip	shang4 ji2	/higher authorities/superiors/CL:個|个[ge4]/
上線	dzyangX sjenH	shang4 xian4	/to go online/to put sth online/
上色	dzyangH srik	shang4 se4	/top-quality/top-grade/
上衫	dzyangH sraem	shang4 shan1	/blouse/
上裝	dzyangH tsrjang	shang4 zhuang1	/upper garment/
上課	dzyangX khwaH	shang4 ke4	/to go to class/to attend class/to go to teach a class/
上路	dzyangX luH	shang4 lu4	/to start on a journey/to be on one's way/
上身	dzyangH syin	shang4 shen1	/upper part of the body/
上輩	dzyangH pwojH	shang4 bei4	/ancestors/one's elders/
上邊	dzyangH pen	shang4 bian5	/the top/above/overhead/upwards/the top margin/above-mentioned/those higher up/
上鉤	dzyangX kuw	shang4 gou1	/to take the bait/
上陣	dzyangX drinH	shang4 zhen4	/to go into battle/
上面	dzyangH mjienH	shang4 mian4	/on top of/above-mentioned/also pr. [shang4 mian5]/
上頭	dzyangX duw	shang4 tou2	/(of alcohol) to go to one's head/(old) (of a bride-to-be) to bind one's hair into a bun/(of a prostitute) to receive a patron for the first time/
上頭	dzyangH duw	shang4 tou5	/above/on top of/on the surface of/
上馬	dzyangX maeX	shang4 ma3	/to get on a horse/to mount/
下半	haeH panH	xia4 ban4	/second half/
下同	haeX duwng	xia4 tong2	/similarly hereinafter/
下回	haeX hwoj	xia4 hui2	/next chapter/next time/
下家	haeX kae	xia4 jia1	/player whose turn comes next (in a game)/next one/my humble home/
下層	haeX dzong	xia4 ceng2	/underlayer/lower class/lower strata/substrate/
下屬	haeX dzyowk	xia4 shu3	/subordinate/underling/
下巴	haeX pae	xia4 ba5	/chin/CL:個|个[ge4]/
丐幫	kajH pang	gai4 bang1	/beggars' union/a group of beggars/
丑時	trhjuwX dzyi	chou3 shi2	/1-3 am (in the system of two-hour subdivisions used in former times)/
丑牛	trhjuwX ngjuw	chou3 niu2	/Year 2, year of the Bull or Ox (e.g. 2009)/
丑角	trhjuwX kaewk	chou3 jue2	/clown role in opera/clown/buffoon/
丑鴨	trhjuwX ’aep	chou3 ya1	/(bird species of China) harlequin duck (Histrionicus histrionicus)/
丕變	phij pjenH	pi1 bian4	/radical change/
丘八	khjuw peat	qiu1 ba1	/soldier (from the two components of the 兵 character) (derog.)/
丘北	khjuw pok	Qiu1 bei3	/Qiubei county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1], Yunnan/
丘壑	khjuw xak	qiu1 he4	/hills and valleys/remote, secluded area/
丘疹	khjuw tsyinX	qiu1 zhen3	/pimple/
丘腦	khjuw nawX	qiu1 nao3	/thalamus/
丘陵	khjuw ling	qiu1 ling2	/hills/
丘鷸	khjuw ywit	qiu1 yu4	/(bird species of China) Eurasian woodcock (Scolopax rusticola)/
丙午	pjaengX nguX	bing3 wu3	/forty-third year C7 of the 60 year cycle, e.g. 1966 or 2026/
丙型	pjaengX heng	bing3 xing2	/type C/type III/gamma-/
丙基	pjaengX ki	bing3 ji1	/propyl group (chemistry)/
丙子	pjaengX tsiX	bing3 zi3	/thirteenth year C1 of the 60 year cycle, e.g. 1996 or 2056/
丙戌	pjaengX swit	bing3 xu1	/twenty-third year C11 of the 60 year cycle, e.g. 2006 or 2066/
丙申	pjaengX syin	bing3 shen1	/thirty-third year C9 of the 60 year cycle, e.g. 1956 or 2016/
丙等	pjaengX tongX	bing3 deng3	/third rank/third category/third grade/grade C/
丙糖	pjaengX dang	bing3 tang2	/triose (CH2O)3, monosaccharide with three carbon atoms, such as glyceraldehyde 甘油醛[gan1 you2 quan2]/
丙辰	pjaengX dzyin	bing3 chen2	/fifty-third year C5 of the 60 year cycle, e.g. 1976 or 2036/
丙醇	pjaengX dzywin	bing3 chun2	/propanol/propyl alcohol C3H7OH/
並入	bengX nyip	bing4 ru4	/to merge into/to incorporate in/
並口	bengX khuwX	bing4 kou3	/parallel port (computing)/
並存	bengX dzwon	bing4 cun2	/to exist at the same time/to coexist/
並把	bengX paeX	bing4 ba3	/to include/
並排	bengX beaj	bing4 pai2	/side by side/abreast/
並條	bengX dew	bing4 tiao2	/drawing (textile industry)/
並立	bengX lip	bing4 li4	/to exist side by side/to exist simultaneously/
並肩	bengX ken	bing4 jian1	/alongside/shoulder to shoulder/side by side/abreast/
並臻	bengX tsrin	bing4 zhen1	/to arrive simultaneously/
並舉	bengX kjoX	bing4 ju3	/to develop simultaneously/to undertake concurrently/
並進	bengX tsinH	bing4 jin4	/to advance together/
並非	bengX pj+j	bing4 fei1	/really isn't/
丫子	’ae tsiX	ya1 zi5	/see 腳丫子|脚丫子[jiao3 ya1 zi5]/
丫杈	’ae tsrhae	ya1 cha4	/fork (of a tree)/tool made of forked wood/
丫環	’ae hwaen	ya1 huan5	/servant girl/maid/
丫角	’ae kaewk	ya1 jiao3	/traditional hairstyle for children, with two pointy braids, giving it a horn-like appearance/
丫頭	’ae duw	ya1 tou5	/girl/servant girl/(used deprecatingly, but sometimes also as a term of endearment)/
丫髻	’ae kejH	ya1 ji4	/bun (of hair)/topknot/
丫鬟	’ae hwaen	ya1 huan5	/servant girl/maid/
中人	trjuwng nyin	zhong1 ren2	/go-between/mediator/intermediary/
中俄	trjuwng nga	Zhong1 E2	/China-Russia/
中共	trjuwng gjowngH	Zhong1 Gong4	/abbr. for 中國共產黨|中国共产党[Zhong1 guo2 Gong4 chan3 dang3], Chinese Communist Party/
中印	trjuwng ’jinH	Zhong1 Yin4	/China-India/
中古	trjuwng kuX	Zhong1 Gu3	/Sino-Cuban/China-Cuba/
中古	trjuwng kuX	zhong1 gu3	/medieval/Middle Ages/Chinese middle antiquity, 3rd to 9th centuries, including Sui and Tang Dynasties/Middle (of a language, e.g. Middle English)/used/second-hand/
中國	trjuwng kwok	Zhong1 guo2	/China/
中型	trjuwng heng	zhong1 xing2	/medium sized/
中堅	trjuwng ken	zhong1 jian1	/core/nucleus/backbone/
中場	trjuwng drjang	zhong1 chang3	/middle period of a tripartite provincial exam (in former times)/midfield/mid-court (in sports)/half-time/intermission half-way through a performance/
中天	trjuwng then	zhong1 tian1	/culmination (astronomy)/
中子	trjuwng tsiX	zhong1 zi3	/neutron/
中局	trjuwng gjowk	zhong1 ju2	/middle game (in go or chess)/
中層	trjuwng dzong	zhong1 ceng2	/middle-ranking/
中巴	trjuwng pae	zhong1 ba1	/minibus/
中師	trjuwng srij	zhong1 shi1	/secondary normal school (abbr. for 中等師範學校|中等师范学校[zhong1 deng3 shi1 fan4 xue2 xiao4])/
中幫	trjuwng pang	zhong1 bang1	/mid-top (shoes)/
中年	trjuwng nen	zhong1 nian2	/middle age/
中庸	trjuwng yowng	zhong1 yong1	/golden mean (Confucianism)/(literary) (of person) mediocre/ordinary/
中廳	trjuwng theng	zhong1 ting1	/lobby/foyer/CL:間|间[jian1]/
中徑	trjuwng kengH	zhong1 jing4	/diameter/
中心	trjuwng sim	zhong1 xin1	/center/heart/core/CL:個|个[ge4]/
中性	trjuwng sjengH	zhong1 xing4	/neutral/
中意	trjuwngH ’iH	zhong4 yi4	/to take one's fancy/to be to one's liking/
中板	trjuwng paenX	zhong1 ban3	/moderato/
中正	trjuwng tsyengH	zhong1 zheng4	/fair and honest/
中水	trjuwng sywijX	zhong1 shui3	/reclaimed water/recycled water/
中流	trjuwng ljuw	zhong1 liu2	/midstream/
中的	trjuwngH tek	zhong4 di4	/to hit the target/to hit the nail on the head/
中盤	trjuwng ban	zhong1 pan2	/circling in midstream/in the middle of a tray/middle game (in go or chess)/
中程	trjuwng drjeng	zhong1 cheng2	/medium-range/
中空	trjuwng khuwng	zhong1 kong1	/hollow/empty interior/
中立	trjuwng lip	zhong1 li4	/neutral/neutrality/
中等	trjuwng tongX	zhong1 deng3	/medium/
中級	trjuwng kip	zhong1 ji2	/middle level (in a hierarchy)/
中線	trjuwng sjenH	zhong1 xian4	/half-way line/median line/
中耳	trjuwng nyiX	zhong1 er3	/middle ear/
中聲	trjuwng syeng	zhong1 sheng1	/medial (i.e. middle vowel of a syllable in Asian phonetics)/
中脊	trjuwng tsjek	zhong1 ji3	/mid-ocean ridge (geology)/
中裝	trjuwng tsrjang	zhong1 zhuang1	/Chinese dress/
中資	trjuwng tsij	zhong1 zi1	/Chinese capital/Chinese enterprise/
中路	trjuwng luH	zhong1 lu4	/midway/mediocre (quality)/midfield (soccer)/
中軸	trjuwng drjuwk	zhong1 zhou2	/axis/(bicycle) bottom bracket/
中輟	trjuwng trjwet	zhong1 chuo4	/to stop halfway/to give up halfway/interruption/suspension/
中途	trjuwng du	zhong1 tu2	/midway/
中鋒	trjuwng phjowng	zhong1 feng1	/midfielder/center (basketball)/center forward (hockey, football)/
中隔	trjuwng keak	zhong1 ge2	/septum (anatomy)/
中飽	trjuwng paewX	zhong1 bao3	/to embezzle/to misappropriate/to line one's pockets with public funds/
中點	trjuwng temX	zhong1 dian3	/midpoint/half-way point/
丰姿	phjowng tsij	feng1 zi1	/charm/good looks/
丰采	phjowng tshojX	feng1 cai3	/variant of 風采|风采[feng1 cai3]/
串口	kwaenH khuwX	chuan4 kou3	/serial port (computing)/
串味	kwaenH mj+jH	chuan4 wei4	/to become tainted with the smell of sth else/to pick up an odor/
串崗	kwaenH kang	chuan4 gang3	/to leave one's post during working hours/
串換	kwaenH hwanH	chuan4 huan4	/to exchange/to change/to swap/
串流	kwaenH ljuw	chuan4 liu2	/to stream (online)/
串線	kwaenH sjenH	chuan4 xian4	/to get the lines crossed/
串謀	kwaenH mjuw	chuan4 mou2	/to conspire/
串通	kwaenH thuwng	chuan4 tong1	/to collude/to collaborate/to gang up/
串鄉	kwaenH xjang	chuan4 xiang1	/to go from village to village (like an itinerant artist)/
串門	kwaenH mwon	chuan4 men2	/to call on sb/to drop in/to visit sb's home/
串音	kwaenH ’im	chuan4 yin1	/crosstalk/to overhear/
丸子	hwan tsiX	wan2 zi5	/pills/balls/meatballs/
丸山	hwan srean	Wan2 shan1	/Maruyama (Japanese surname and place name)/
丹佛	tan bjut	Dan1 fo2	/Denver, Colorado/
丹寧	tan neng	dan1 ning2	/(loanword) denim/tannin/
丹尼	tan nrij	Dan1 ni2	/Danny (name)/
丹巴	tan pae	Dan1 ba1	/Danba county (Tibetan: rong brag rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州, Sichuan (formerly in Kham province of Tibet)/
丹彩	tan tshojX	dan1 cai3	/vermilion/rhetorical language/
丹徒	tan du	Dan1 tu2	/Dantu district of Zhenjiang city 鎮江市|镇江市[Zhen4 jiang1 shi4], Jiangsu/
丹心	tan sim	dan1 xin1	/loyal heart/loyalty/
丹東	tan tuwng	Dan1 dong1	/Dandong prefecture-level city in Liaoning province 遼寧省|辽宁省 in northeast China/
丹桂	tan kwejH	dan1 gui4	/orange osmanthus/
丹毒	tan dowk	dan1 du2	/erysipelas (medicine)/
丹瑞	tan dzyweH	Dan1 Rui4	/General Than Shwe (1933-), Myanmar army officer and politician, leader of the military junta 1992-2011/
丹田	tan den	dan1 tian2	/pubic region/point two inches below the navel where one's qi resides/
丹皮	tan bje	dan1 pi2	/the root bark of the peony tree/
丹砂	tan srae	dan1 sha1	/cinnabar/mercuric sulfide HgS/
丹稜	tan long	Dan1 leng2	/Danleng County in Meishan 眉山市[Mei2 shan1 Shi4], Sichuan/
丹貝	tan pajH	dan1 bei4	/see 天貝|天贝[tian1 bei4]/
丹陽	tan yang	Dan1 yang2	/Danyang county level city in Zhenjiang 鎮江|镇江[Zhen4 jiang1], Jiangsu/
丹霞	tan hae	Dan1 xia2	/Mt Danxia in Shaoguan 韶關|韶关[Shao2 guan1], Guangdong/Danxia landform (red conglomerate and sandstone)/
丹鳳	tan bjuwngH	Dan1 feng4	/Danfeng County in Shangluo 商洛[Shang1 luo4], Shaanxi/
丹鳳	tan bjuwngH	dan1 feng4	/red phoenix/
丹麥	tan meak	Dan1 mai4	/Denmark/
主人	tsyuX nyin	zhu3 ren2	/master/host/owner/CL:個|个[ge4]/
主修	tsyuX sjuw	zhu3 xiu1	/to major in/
主公	tsyuX kuwng	zhu3 gong1	/Your Highness/Your Majesty/
主力	tsyuX lik	zhu3 li4	/main force/main strength of an army/
主動	tsyuX duwngX	zhu3 dong4	/to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)/
主因	tsyuX ’jin	zhu3 yin1	/main reason/
主場	tsyuX drjang	zhu3 chang3	/home ground (sports)/home field/main venue/main stadium/
主婦	tsyuX bjuwX	zhu3 fu4	/housewife/woman of senior authority in a household/the lady of the house/hostess/
主嫌	tsyuX hem	zhu3 xian2	/prime, key or main suspect (law)/
主子	tsyuX tsiX	zhu3 zi5	/Master (term used by servant)/Your Majesty/operator (of machine)/
主宰	tsyuX tsojX	zhu3 zai3	/to dominate/to rule/to dictate/master/
主導	tsyuX dawH	zhu3 dao3	/leading/dominant/prevailing/to lead/to direct/to dominate/
主席	tsyuX zjek	zhu3 xi2	/chairperson/premier/chairman/CL:個|个[ge4],位[wei4]/
主幹	tsyuX kanH	zhu3 gan4	/trunk/main/core/
主廚	tsyuX drju	zhu3 chu2	/chef/to be the chef/
主廳	tsyuX theng	zhu3 ting1	/main lobby/
主意	tsyuX ’iH	zhu3 yi5	/plan/idea/decision/CL:個|个[ge4]/Beijing pr. [zhu2 yi5]/
主持	tsyuX dri	zhu3 chi2	/to take charge of/to manage or direct/to preside over/to uphold/to stand for (justice etc)/to host (a TV or radio program etc)/(TV) anchor/
主掌	tsyuX tsyangX	zhu3 zhang3	/in charge (of a position etc)/the person in charge/responsible/
主播	tsyuX paH	zhu3 bo1	/anchor (TV)/
主教	tsyuX kaew	zhu3 jiao4	/bishop/
主族	tsyuX dzuwk	zhu3 zu2	/main group/
主日	tsyuX nyit	zhu3 ri4	/Sabbath/Sunday/
主旨	tsyuX tsyijX	zhu3 zhi3	/gist/main idea/general tenor/one's judgment/
主材	tsyuX dzoj	zhu3 cai2	/principal or main material (engineering)/
主板	tsyuX paenX	zhu3 ban3	/motherboard (computing)/
主業	tsyuX ngjaep	zhu3 ye4	/main business/
主樓	tsyuX luw	zhu3 lou2	/main building/
主機	tsyuX kj+j	zhu3 ji1	/main engine/(military) lead aircraft/(computing) host computer/main processor/server/
主權	tsyuX gjwen	zhu3 quan2	/sovereignty/
主次	tsyuX tshijH	zhu3 ci4	/the important and the less important/primary and secondary/
主流	tsyuX ljuw	zhu3 liu2	/main stream (of a river)/fig. the essential point/main viewpoint of a matter/mainstream (culture etc)/
主演	tsyuX yenX	zhu3 yan3	/to act the leading role (in a movie or a play)/to star/lead actor/
主犯	tsyuX bjomX	zhu3 fan4	/culprit/
主球	tsyuX gjuw	zhu3 qiu2	/cue ball (in pool etc)/
主環	tsyuX hwaen	zhu3 huan2	/primary ring/
主管	tsyuX kwanX	zhu3 guan3	/in charge/responsible for/person in charge/manager/
主線	tsyuX sjenH	zhu3 xian4	/main line (of communication)/main thread (of a plotline or concept)/central theme/
主罰	tsyuX bjot	zhu3 fa2	/penalty (kick)/
主義	tsyuX ngjeH	zhu3 yi4	/-ism/ideology/
主菜	tsyuX tshojH	zhu3 cai4	/main course/
主計	tsyuX kejH	zhu3 ji4	/chief accounting officer/controller/comptroller/(Han Dynasty) treasurer/
主詞	tsyuX zi	zhu3 ci2	/subject/
主講	tsyuX kaewngX	zhu3 jiang3	/to give a lecture/to lecture on/
主軸	tsyuX drjuwk	zhu3 zhou2	/axis/principal axis (in mechanics, optics, botany etc)/main axle (of engine)/
主辦	tsyuX beanH	zhu3 ban4	/to organize/to host (a conference or sports event)/
主銷	tsyuX sjew	zhu3 xiao1	/kingpin (vehicle part)/to focus one's marketing efforts on (a region, product etc)/
主隊	tsyuX dwojH	zhu3 dui4	/host team (at sports event)/host side/
主音	tsyuX ’im	zhu3 yin1	/keynote/principal tone/tonic/vowel/
主頁	tsyuX het	zhu3 ye4	/home page/
主顧	tsyuX kuH	zhu3 gu4	/client/customer/
主體	tsyuX thejX	zhu3 ti3	/main part/bulk/body/subject/agent/
